,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
shinjts01,303,876,128,6,14,6,9,55,215,9,100,20,41,4,0
shinnti01,261,936,47,0,14,0,0,116,224,98,136,2,26,22,1
shipkbi01,186,552,0,0,7,0,32,55,110,21,29,1,11,10,0
shiplcr01,582,1345,191,9,17,7,15,47,364,33,138,20,63,6,1
shirear01,290,986,62,0,3,0,19,81,287,8,119,11,45,12,1
shochge01,706,2536,115,0,57,0,21,298,671,138,323,10,89,28,2
shockur01,412,798,211,0,11,0,98,139,167,1,70,1,23,3,0
shoppke01,572,1616,624,8,57,7,19,155,361,1,216,70,92,2,1
shortch01,527,1345,68,0,1,0,62,110,370,12,134,3,51,20,1
shortch02,506,697,198,4,3,0,57,14,88,1,24,0,5,2,0
shottbu01,1387,4945,380,0,22,0,62,713,1338,293,290,9,154,65,4
shower01,333,506,179,1,3,0,40,4,81,0,28,4,10,0,0
shubage01,355,814,122,2,6,1,6,120,211,5,125,24,45,4,1
shuckja01,283,771,89,9,2,2,10,57,204,19,66,4,31,6,0
shugafr01,745,3014,174,0,32,0,14,218,804,131,384,22,110,79,2
shumpte01,854,1969,369,22,24,5,32,166,497,85,223,49,109,26,1
sickied01,203,597,43,0,3,0,15,39,135,14,59,0,13,2,0
siebedi01,1035,3917,185,0,15,0,43,276,1104,30,482,32,204,40,2
siebeno01,1406,4481,748,48,10,47,20,708,1217,18,636,132,206,38,3
siebeso01,405,660,182,3,9,0,35,18,114,0,57,12,22,3,0
sierrmo01,180,415,116,2,2,1,0,30,101,5,37,9,25,3,0
sierrru01,2186,8044,1239,120,7,102,1,610,2152,142,1322,306,428,59,4
sieveed01,204,526,0,0,3,0,23,16,82,2,24,0,7,1,0
sievero01,1887,6387,920,55,51,55,15,841,1703,14,1147,318,292,42,4
silvech01,227,482,32,0,2,0,4,53,136,2,52,1,15,2,0
simmoal01,2215,8759,737,0,30,0,111,615,2927,88,1827,307,539,149,4
simmoan01,499,1847,184,11,10,12,8,123,472,16,168,31,76,14,1
simmocu01,609,1135,283,3,2,0,57,59,194,2,76,1,19,3,0
simmoha01,305,951,35,0,16,0,24,85,234,28,102,2,43,9,1
simmote01,2456,8680,694,100,39,188,11,855,2472,21,1389,248,483,47,4
simmsmi01,330,660,175,7,8,1,0,69,163,4,121,36,33,1,0
simonha01,130,539,0,0,2,0,0,51,144,35,61,2,22,14,1
simonmi01,379,1069,73,0,9,0,24,54,241,9,90,1,28,10,0
simonra01,537,1609,148,13,12,20,1,82,455,2,237,49,71,3,1
simpsdi01,288,518,174,4,6,5,3,64,107,10,56,15,19,2,0
simpsha01,888,2829,429,11,10,17,16,271,752,17,381,73,101,41,2
simpsjo01,607,1397,190,9,7,10,28,90,338,45,124,9,54,12,1
simsdu01,843,2422,483,9,35,34,6,338,580,6,310,100,80,6,1
singebi01,324,413,162,0,5,0,30,14,45,0,13,0,11,0,0
singlch01,704,2230,343,25,9,9,39,130,609,81,276,45,133,23,2
singlke01,2082,7189,1246,60,17,125,29,1263,2029,21,1065,246,317,25,4
singtfr01,181,516,66,0,3,0,3,89,140,2,85,7,36,5,0
sisledi01,799,2606,253,0,9,0,39,226,720,6,360,55,118,28,2
sislege01,2055,8267,327,0,48,0,226,472,2812,375,1175,102,425,164,4
sistisi01,1016,2999,440,0,16,0,70,283,732,30,260,27,121,19,2
sizemgr01,1101,4147,952,19,67,34,8,483,1098,143,518,150,252,47,3
sizemsc01,166,533,162,2,2,0,9,68,128,5,74,14,32,1,0
sizemte01,1411,5011,350,38,20,60,110,469,1311,59,430,23,188,21,3
skaggda01,205,510,76,3,0,1,14,51,123,0,49,3,18,2,0
skinnbo01,1381,4318,646,20,17,53,33,485,1198,67,531,103,197,58,3
skinnjo01,564,1441,387,8,4,1,18,80,329,3,136,17,62,3,1
skizalo01,239,725,37,6,2,3,5,50,196,8,86,30,27,4,0
skowrbi01,1658,5547,870,45,54,48,17,383,1566,16,888,211,243,53,3
sladego01,437,1372,116,0,14,0,34,84,353,12,123,8,60,11,1
slaglji01,1298,4996,0,0,23,0,132,619,1340,273,344,2,124,56,4
slattmi01,374,1481,71,0,6,0,0,62,372,53,135,8,44,21,1
slaugdo01,1327,4063,559,38,42,28,48,311,1151,18,476,77,235,28,2
slaugen01,2380,7946,538,10,37,11,73,1018,2383,71,1304,169,413,148,4
sledgte01,291,705,151,5,4,7,7,82,174,6,100,25,32,7,0
sloanto01,143,402,46,0,9,0,7,41,94,9,33,2,8,5,0
smallro01,872,2644,541,3,18,6,26,257,601,4,305,61,103,33,1
smallro02,1653,5657,908,54,14,47,98,771,1454,27,694,163,244,25,4
smallwi01,147,540,46,0,5,0,0,65,113,10,45,0,11,2,0
smilejo01,361,504,183,2,0,0,45,25,73,0,35,2,14,0,0
smithal01,287,955,0,0,6,0,25,26,252,37,130,1,30,11,1
smithal03,359,535,106,0,4,0,19,51,102,0,38,2,12,1,0
smithal04,1517,5357,768,43,63,30,35,674,1458,67,676,164,258,46,4
smithbi05,370,1018,189,5,4,6,24,96,234,8,111,17,38,9,1
