playerID,Sum - W,Sum - L,Sum - GS,Sum - SHO,Sum - SV,Sum - IPouts,Sum - H,Sum - HR,Sum - BB,Sum - R,Sum - ER,ERA<3.5
iwakuhi01,47,25,97,1,2,1961,580,80,127,241,230,1
jacksal01,67,99,184,14,10,4168,1449,115,407,725,614,0
jacksda01,20,27,60,1,1,1233,425,36,186,219,200,0
jacksda02,112,131,324,15,1,6218,2110,133,816,1061,923,0
jacksed01,88,107,262,3,1,4921,1736,180,640,908,835,0
jacksgr01,86,75,83,5,79,4076,1272,109,511,589,523,1
jacksla01,194,183,429,37,20,9788,3206,259,824,1405,1233,1
jacksmi02,62,67,7,0,142,3565,983,127,464,492,451,1
jacksro03,28,34,18,0,34,1677,531,50,203,260,234,0
jacobbe01,23,46,70,1,0,1837,618,11,148,317,217,1
jacobel01,50,81,133,9,7,3568,1223,40,423,580,469,0
jacomja01,10,18,34,1,1,783,323,38,98,161,155,0
jakucsi01,25,22,50,5,5,1233,431,28,131,195,173,0
jamesbi01,65,71,147,9,4,3539,1110,16,578,559,420,1
jamesbi02,37,21,61,5,2,1625,469,14,199,196,137,1
jamesbo01,24,26,2,0,73,1221,377,39,157,194,172,0
jamesch03,24,19,55,0,0,978,317,63,132,169,164,0
jamesmi01,16,14,0,0,11,942,285,30,149,144,128,0
janesje01,11,23,46,1,1,840,330,27,104,168,147,0
janseke01,16,11,0,0,142,1020,211,26,108,87,86,1
jansela01,122,89,237,17,10,5297,1751,191,410,804,703,0
janssca01,31,29,22,0,90,1599,518,52,129,231,215,0
jarvike01,34,49,118,3,1,2342,937,149,262,568,523,0
jarvipa01,85,73,169,8,3,3852,1180,106,380,559,511,0
jaspehi01,10,12,23,0,1,713,210,3,99,124,92,1
jastela01,35,33,80,7,3,1794,579,69,178,267,242,0
javeral01,53,74,147,15,5,3428,1164,44,452,569,483,0
jayjo01,99,91,203,16,7,4639,1460,153,607,714,648,0
jeffcge01,7,11,9,1,3,509,159,12,100,101,85,0
jeffcha01,39,37,51,1,25,2091,772,73,257,365,327,0
jeffcmi01,25,26,45,2,7,1500,576,49,149,270,243,0
jeffeje01,39,81,144,4,1,3257,1151,116,520,642,580,0
jenkife01,284,226,594,49,7,13502,4142,484,997,1853,1669,1
jenksbo01,16,20,0,0,173,1072,324,26,123,149,140,0
jennija01,62,74,180,3,1,3385,1253,137,505,661,621,0
jensery01,17,12,42,0,0,758,279,36,103,150,142,0
jepseke01,16,24,0,0,20,1051,323,21,137,152,141,0
jimenjo01,24,44,38,2,110,1564,572,46,186,309,285,0
jimenub01,100,94,265,3,0,4755,1438,137,718,766,707,0
